iter	Passed	Remaining
443	1213	1519
444	1216	1517
445	1219	1515
446	1222	1512
447	1225	1509
448	1228	1507
449	1231	1505
450	1234	1502
451	1237	1499
452	1240	1497
453	1242	1494
454	1245	1491
455	1249	1490
456	1252	1488
457	1255	1486
458	1258	1483
459	1262	1481
460	1264	1478
461	1267	1475
462	1270	1473
463	1272	1470
464	1275	1467
465	1277	1463
466	1279	1460
467	1282	1457
468	1284	1454
469	1287	1451
470	1289	1448
471	1292	1445
472	1295	1443
473	1297	1440
474	1300	1437
475	1302	1434
476	1305	1431
477	1308	1428
478	1310	1425
479	1312	1422
480	1315	1419
481	1317	1415
482	1319	1412
483	1321	1409
484	1324	1406
485	1326	1403
486	1329	1400
487	1332	1397
488	1334	1394
489	1336	1391
490	1339	1388
491	1341	1385
492	1344	1382
493	1346	1379
494	1349	1376
495	1351	1373
496	1354	1370
497	1357	1367
498	1360	1365
499	1363	1363
500	1366	1361
501	1369	1358
502	1372	1355
503	1374	1353
504	1377	1349
505	1380	1347
506	1382	1344
507	1385	1342
508	1388	1339
509	1391	1336
510	1394	1334
511	1396	1331
512	1399	1328
513	1402	1325
514	1404	1322
515	1407	1320
516	1410	1317
517	1412	1314
518	1415	1311
519	1418	1309
520	1421	1306
521	1424	1304
522	1426	1301
523	1429	1298
524	1432	1295
525	1435	1293
526	1438	1290
527	1440	1288
528	1443	1285
529	1446	1282
530	1449	1279
531	1451	1277
532	1454	1274
533	1457	1271
534	1459	1268
535	1462	1266
536	1465	1263
537	1468	1260
538	1470	1258
539	1473	1255
540	1476	1252
541	1479	1249
542	1481	1247
543	1484	1244
544	1487	1241
545	1490	1239
546	1493	1236
547	1496	1233
548	1498	1231
549	1502	1229
550	1505	1226
551	1508	1224
552	1511	1221
553	1514	1219
554	1516	1216
555	1519	1213
556	1521	1210
557	1524	1207
558	1527	1204
559	1529	1202
560	1532	1199
561	1536	1197
562	1542	1197
563	1546	1195
564	1555	1197
565	1568	1202
566	1577	1205
567	1581	1202
568	1585	1201
569	1588	1198
570	1591	1195
571	1593	1192
572	1596	1189
573	1598	1186
574	1601	1183
575	1603	1180
576	1606	1177
577	1608	1174
578	1611	1171
579	1613	1168
580	1616	1165
581	1619	1162
582	1621	1159
583	1624	1157
584	1627	1154
585	1629	1151
586	1631	1148
587	1634	1145
588	1637	1142
589	1639	1139
590	1642	1136
591	1644	1133
592	1647	1130
593	1650	1127
594	1652	1125
595	1655	1122
596	1657	1119
597	1660	1116
598	1662	1113
599	1665	1110
600	1667	1107
601	1670	1104
602	1672	1101
603	1674	1098
604	1677	1095
605	1679	1092
606	1682	1089
607	1685	1086
608	1687	1083
609	1690	1080
610	1692	1077
611	1695	1075
612	1698	1072
613	1700	1069
614	1702	1065
615	1705	1062
616	1707	1059
617	1710	1057
618	1712	1053
619	1714	1050
620	1717	1048
621	1719	1045
622	1722	1042
623	1725	1039
624	1727	1036
625	1730	1033
626	1732	1030
627	1735	1027
628	1737	1024
629	1739	1021
630	1742	1018
631	1744	1015
632	1747	1013
633	1749	1010
634	1752	1007
635	1754	1004
636	1757	1001
637	1761	999
638	1763	996
639	1765	993
640	1768	990
641	1770	987
642	1773	984
643	1775	981
644	1778	978
645	1780	975
646	1783	973
647	1785	970
648	1788	967
649	1791	964
650	1793	961
651	1796	958
652	1799	956
653	1802	953
654	1805	950
655	1807	947
656	1810	944
657	1812	942
658	1815	939
659	1817	936
660	1820	933
661	1822	930
662	1825	927
663	1827	924
664	1829	921
665	1832	918
666	1834	915
667	1837	913
668	1839	910
669	1841	907
670	1844	904
671	1846	901
672	1849	898
673	1851	895
674	1854	892
675	1856	890
676	1859	887
677	1861	884
678	1864	881
679	1866	878
680	1869	875
681	1871	872
682	1874	869
683	1876	866
684	1878	864
685	1881	861
686	1884	858
687	1886	855
688	1889	852
689	1892	850
690	1894	847
691	1897	844
692	1899	841
693	1902	838
694	1904	835
695	1907	833
696	1909	830
697	1912	827
698	1914	824
699	1916	821
700	1919	818
701	1921	815
702	1924	812
703	1927	810
704	1929	807
705	1932	804
706	1934	801
707	1937	799
708	1939	796
709	1942	793
710	1945	790
711	1947	787
712	1950	785
713	1952	782
714	1955	779
715	1957	776
716	1960	773
717	1962	770
718	1965	768
719	1968	765
720	1970	762
721	1973	759
722	1975	756
723	1978	754
724	1980	751
725	1982	748
726	1985	745
727	1987	742
728	1990	739
729	1992	736
730	1994	734
731	1997	731
732	1999	728
733	2002	725
734	2004	722
735	2006	719
736	2009	716
737	2011	714
738	2013	711
739	2016	708
740	2018	705
741	2020	702
742	2023	699
743	2025	697
744	2028	694
745	2030	691
746	2033	688
747	2035	685
748	2038	683
749	2041	680
750	2043	677
751	2046	674
752	2049	672
753	2051	669
754	2053	666
755	2056	663
756	2058	660
757	2061	658
758	2063	655
759	2066	652
760	2069	649
761	2071	647
762	2074	644
763	2076	641
764	2079	638
765	2081	635
766	2084	633
767	2086	630
768	2088	627
769	2091	624
770	2093	621
771	2096	619
772	2098	616
773	2101	613
774	2103	610
775	2106	608
776	2108	605
777	2111	602
778	2114	599
779	2116	596
780	2118	594
781	2121	591
782	2123	588
783	2126	585
784	2128	583
785	2131	580
786	2133	577
787	2136	574
788	2138	572
789	2141	569
790	2143	566
791	2146	563
792	2149	560
793	2151	558
794	2154	555
795	2156	552
796	2159	549
797	2161	547
798	2163	544
799	2166	541
800	2168	538
801	2171	536
802	2174	533
803	2176	530
804	2179	527
805	2182	525
806	2184	522
807	2187	519
808	2189	516
809	2192	514
810	2194	511
811	2197	508
812	2199	505
813	2201	503
814	2204	500
815	2206	497
816	2209	494
817	2211	492
818	2213	489
819	2216	486
820	2218	483
821	2221	481
822	2223	478
823	2226	475
824	2229	472
